,Date,V1,V2,V3,V4
0,2020-01-01,,,,
1,2020-02-01,0.7924528301921849,,,
2,2020-03-01,0.49999999988276594,0.8571428571141466,,
3,2020-04-01,1.0476190478423506,0.9047619048065655,0.7118644068164376,
4,2020-05-01,0.8636363634735924,0.5789473683801343,0.7142857141852279,0.8433734939878158
5,2020-06-01,0.9473684213254202,0.8590909092211263,0.5,0.8333333332942554
6,2020-07-01,0.944444444201292,0.5291005287834938,0.6666666664478297,0.5999999998874552
7,2020-08-01,0.4705882351578177,0.8500000007385752,0.9500000002461917,0.7142857143527052
8,2020-09-01,1.2250000003692876,0.8894117646977043,0.9473684213254202,0.6000000001313023
9,2020-10-01,0.5510204078966687,0.8597883600261363,0.5555555557987077,0.8346666670109703
10,2020-11-01,0.7407407408758253,0.8461538455711437,0.639999999763656,0.681975506108067
11,2020-12-01,0.5750000001230959,0.7636363627573982,0.6249999996153255,0.4489556895255842
12,2021-01-01,0.47826086882059216,0.761904762909626,0.5000000024619172,0.43478261074337154
13,2021-02-01,0.8603636382387627,0.31250000134636097,1.4999999950761655,0.49999999507616566
14,2021-03-01,0.330952030240917,0.05000000147715031,1.3333333311449627,0.3999999960609325
15,2021-04-01,0.016750591605896304,0.0015999999212186527,0.45000000073857516,0.024999981535620865
